iter	Logloss
0	0.3848048602
1	0.213970183
2	0.1202979481
3	0.06941780041
4	0.03916413286
5	0.02465840885
6	0.0155293395
7	0.009514788468
8	0.006288844278
9	0.004552939357
10	0.003460715241
11	0.002558521846
12	0.001988401246
13	0.001603613996
14	0.001358318447
15	0.001175796515
16	0.001021977694
17	0.0009458856553
18	0.0008489377803
19	0.0007818014843
20	0.0007305202065
21	0.000683294089
22	0.0006457187188
23	0.0006106768419
24	0.0005838698433
25	0.0005587118898
26	0.000536169354
27	0.0005187297774
28	0.000509295088
29	0.0004940802975
30	0.0004795141612
31	0.0004676890159
32	0.0004560052133
33	0.0004472275652
34	0.0004395688241
35	0.0004328744778
36	0.0004263335629
37	0.0004200309659
38	0.0004098577515
39	0.0004015150684
40	0.0003964544752
41	0.0003898619784
42	0.0003852255705
43	0.0003797468624
44	0.0003744126346
45	0.0003705054308
46	0.0003678276697
47	0.0003631543711
48	0.0003604196212
49	0.0003562203008
50	0.0003530832187
51	0.0003500259073
52	0.0003468995969
53	0.0003435828831
54	0.0003419160617
55	0.0003394582309
56	0.0003379439725
57	0.0003360052088
58	0.000334775425
59	0.0003334573286
60	0.0003315837728
61	0.0003304076671
62	0.000326208142
63	0.0003236265586
64	0.0003201776763
65	0.0003187923124
66	0.0003169540287
67	0.0003140005842
68	0.0003128180091
69	0.0003115193707
70	0.0003092529087
71	0.0003065440206
72	0.0003045054392
73	0.0003022614902
74	0.0002998594755
75	0.0002959693711
76	0.0002951204665
77	0.00029350638
78	0.0002915449392
79	0.0002889234744
80	0.0002861107941
81	0.000284393145
82	0.0002829781207
83	0.0002819497246
84	0.0002808365354
85	0.0002791190961
86	0.0002777535917
87	0.0002748978989
88	0.0002726993681
89	0.0002719910938
90	0.0002699392509
91	0.0002693840054
92	0.0002681010302
93	0.0002663302907
94	0.0002654732468
95	0.0002641300638
96	0.0002623504506
97	0.0002607929712
98	0.0002601783259
99	0.00025918896
